project,source_commit_40hex_recorded,image_archive_sha256_recorded,binary_sha256_recorded,wrapper_sha256_recorded,route_mapping_recorded,checked_matched_recorded,core_instrumentation_explicitly_described,runtime_core_feedback,normal_input_route_state_checks,group_type_identity_review,core_source_cleanliness,raw_log_availability,artifact_access,public_access_and_redistribution,configuration_index,coverage_text,source
PcapPlusPlus,True,True,True,True,True,True,False,not_independently_verified,not_independently_verified,five_tuple_kind_cleared,not_independently_verified,historical_loss_reported,local_path_recorded_not_verified,not_confirmed,data/measure/manual/PcapPlusPlus/65974d73c33aaede1bf3c18a353ea2209d1912a0.json,"dispatcher and four original harness TUs compiled with -fsanitize=address,fuzzer-no-link (2242 inline 8-bit counters including header inlines)",data/measure/manual/PcapPlusPlus/65974d73c33aaede1bf3c18a353ea2209d1912a0.json#aggregation
assimp,True,True,True,True,True,True,False,not_independently_verified,not_independently_verified,five_tuple_kind_cleared,not_independently_verified,not_audited,local_path_recorded_not_verified,not_confirmed,data/measure/manual/assimp/d34cd103f477fba496f09e3daf49d3ce671eb21a.json,"single harness TU compiled with -fsanitize=address,fuzzer-no-link",data/measure/manual/assimp/d34cd103f477fba496f09e3daf49d3ce671eb21a.json#aggregation
espeak-ng,True,True,True,True,True,True,False,not_independently_verified,not_independently_verified,five_tuple_kind_cleared,not_independently_verified,not_audited,local_path_recorded_not_verified,not_confirmed,data/measure/manual/espeak-ng/ccb1c31ba3cfa785d27c5974f3be65df2967e7a0.json,"single harness TU compiled with -fsanitize=address,fuzzer-no-link",data/measure/manual/espeak-ng/ccb1c31ba3cfa785d27c5974f3be65df2967e7a0.json#aggregation
fluent-bit,True,True,True,True,True,True,True,not_independently_verified,not_independently_verified,five_tuple_kind_cleared,not_independently_verified,not_audited,local_path_recorded_not_verified,not_confirmed,data/measure/manual/fluent-bit/e5289e606c4b55b0fac29046c8343958248189e7.json,library + plugins + six harness TUs + wrapper compiled with -fsanitize=fuzzer-no-link,data/measure/manual/fluent-bit/e5289e606c4b55b0fac29046c8343958248189e7.json#aggregation
ghostpdl,True,True,True,True,True,True,False,not_independently_verified,not_independently_verified,five_tuple_kind_cleared,not_independently_verified,not_audited,local_path_recorded_not_verified,not_confirmed,data/measure/manual/ghostpdl/991a95ff4c4ffd6114f0ae5b9ecb7887ba775d50.json,"single harness TU compiled with -fsanitize=address,fuzzer-no-link",data/measure/manual/ghostpdl/991a95ff4c4ffd6114f0ae5b9ecb7887ba775d50.json#aggregation
gpac,True,True,True,True,True,True,False,not_independently_verified,not_independently_verified,five_tuple_kind_cleared,not_independently_verified,historical_loss_reported,local_path_recorded_not_verified,not_confirmed,data/measure/manual/gpac/b890f1c443dbe1f941cd326d4473ce7ddef8e256.json,wrapper compiled with -fsanitize=fuzzer-no-link; harness objects keep original instrumentation,data/measure/manual/gpac/b890f1c443dbe1f941cd326d4473ce7ddef8e256.json#aggregation
hdf5,True,True,True,True,True,True,False,not_independently_verified,not_independently_verified,five_tuple_kind_cleared,not_independently_verified,not_audited,local_path_recorded_not_verified,not_confirmed,data/measure/manual/hdf5/bd7616cf98ae52e77f710a16fb4d334be3cb5ce9.json,"dispatcher and both original harness TUs compiled with -fsanitize=address,fuzzer-no-link",data/measure/manual/hdf5/bd7616cf98ae52e77f710a16fb4d334be3cb5ce9.json#aggregation
libavc,True,True,True,True,True,True,False,not_independently_verified,not_independently_verified,five_tuple_kind_cleared,not_independently_verified,not_audited,local_path_recorded_not_verified,not_confirmed,data/measure/manual/libavc/764ab7b702142762bfa9c4e93427c6e494ff7940.json,"single harness TU compiled with -fsanitize=address,fuzzer-no-link",data/measure/manual/libavc/764ab7b702142762bfa9c4e93427c6e494ff7940.json#aggregation
libdwarf,True,True,True,True,True,True,False,not_independently_verified,not_independently_verified,five_tuple_kind_cleared,not_independently_verified,not_audited,local_path_recorded_not_verified,not_confirmed,data/measure/manual/libdwarf/2ee326bad2b4286ca19a2d007d2bb0e77adcdcff.json,ten harness TUs + wrapper compiled with -fsanitize=fuzzer-no-link,data/measure/manual/libdwarf/2ee326bad2b4286ca19a2d007d2bb0e77adcdcff.json#aggregation
libraw,True,True,True,True,True,True,False,not_independently_verified,not_independently_verified,five_tuple_kind_cleared,not_independently_verified,not_audited,local_path_recorded_not_verified,not_confirmed,data/measure/manual/libraw/371161a06d7f98f231a001dad4af2dfb463e270a.json,"single harness TU compiled with -fsanitize=address,fuzzer-no-link",data/measure/manual/libraw/371161a06d7f98f231a001dad4af2dfb463e270a.json#aggregation
librawspeed,True,True,True,True,True,True,True,not_independently_verified,not_independently_verified,five_tuple_kind_cleared,not_independently_verified,not_audited,local_path_recorded_not_verified,not_confirmed,data/measure/manual/librawspeed/a17791452ef33b56e59ff9f7047775cf523b63f2.json,wrapper + decoder/parser cores compiled with -fsanitize-coverage=trace-pc-guard,data/measure/manual/librawspeed/a17791452ef33b56e59ff9f7047775cf523b63f2.json#aggregation
libxml2,True,True,True,True,True,True,True,not_independently_verified,not_independently_verified,five_tuple_kind_cleared,not_independently_verified,not_audited,local_path_recorded_not_verified,not_confirmed,data/measure/manual/libxml2/4b3452d17123631ec43d532b83dc182c1a638fed.json,library + html/xinclude/schema/fuzz + wrapper compiled with -fsanitize=fuzzer-no-link,data/measure/manual/libxml2/4b3452d17123631ec43d532b83dc182c1a638fed.json#aggregation
ndpi,True,True,True,True,True,True,False,not_independently_verified,not_independently_verified,five_tuple_kind_cleared,not_independently_verified,not_audited,local_path_recorded_not_verified,not_confirmed,data/measure/manual/ndpi/65d526d8f6ae75f8d1a3f5c8dd19bf40ec03f320.json,"single harness TU compiled with -fsanitize=address,fuzzer-no-link",data/measure/manual/ndpi/65d526d8f6ae75f8d1a3f5c8dd19bf40ec03f320.json#aggregation
openh264,True,True,True,True,True,True,False,not_independently_verified,not_independently_verified,five_tuple_kind_cleared,not_independently_verified,not_audited,local_path_recorded_not_verified,not_confirmed,data/measure/manual/openh264/83a0eae9bbbda5bfe802438109a025a3d7caee10.json,"single harness TU compiled with -fsanitize=address,fuzzer-no-link",data/measure/manual/openh264/83a0eae9bbbda5bfe802438109a025a3d7caee10.json#aggregation
